id,wmid,slug,name,state,city,type,num_menu_items
64591,923410620,terps-dispensary-pueblo,Terps Dispensary Pueblo,Colorado,Pueblo West,dispensary,470
303228,623844388,peak-mj-sedgwick,Peak MJ Sedgwick,Colorado,Sedgwick,dispensary,701
336434,228757983,buena-suerte-company-llc,Confidential Cannabis - Broomfield,Colorado,Broomfield,dispensary,725
66821,647356438,lova-downtown,LOVA Downtown,Colorado,Denver,dispensary,435
7803,355868421,the-trust-cannabis-company-boulder,The Trust Cannabis Company,Colorado,Boulder,dispensary,455
347498,223752906,nuvue-pharma,NuVue Pharma - Cortez,Colorado,Cortez,dispensary,254
6853,103699120,breckenridge-organic-therapy,Breckenridge Organic Therapy,Colorado,Breckenridge,dispensary,623
51458,741264773,the-chronic-boutique,The Chronic Boutique - Pikes Peak,Colorado,Colorado Springs,dispensary,660
367128,169381955,social-dispensary-e-mississippi-ave,Social Dispensary E Mississippi Ave,Colorado,Denver,dispensary,467
32646,820927683,trenchtown-marijuana-center-recreational-mmj-denver,Trenchtown Cannabis,Colorado,Denver,dispensary,271
368683,781005559,green-tree-9,Green Tree Medicinals of Northglenn,Colorado,Northglenn,dispensary,686
5190,286147876,a-cut-above-denver,A Cut Above - Denver,Colorado,Denver,dispensary,212
32845,514332624,natures-herbs-and-wellness-center-recreational,Nature's Herbs & Wellness - Garden City,Colorado,Garden City,dispensary,477
305860,630274656,dispensary-7884-1,Dispensary 7884,Colorado,Antonito,dispensary,0
306947,974484293,flower-power-botanicals-4,Flower Power Botanicals,Colorado,Fort Collins,dispensary,392
378604,411467992,roots-rx-cannabis-dispensary-basalt,Roots RX Cannabis Dispensary Basalt,Colorado,Basalt,dispensary,322
369366,692326318,roots-rx-cannabis-dispensary-aspen,Roots RX Cannabis Dispensary Aspen,Colorado,Aspen,dispensary,455
62972,648769295,maikoh-holistics,Maikoh Holistics - Boulder,Colorado,Boulder,dispensary,382
338915,504167742,jars-cannabis-4,JARS Cannabis - Aurora Southlands,Colorado,Aurora,dispensary,1070
54528,686568985,lightshade-federal-heights-medical,Lightshade - Federal Heights,Colorado,Federal Heights,dispensary,649
303398,186512187,nature-s-herbs-wellness-sedgwick,Nature's Herbs & Wellness - Sedgwick,Colorado,Sedgwick,dispensary,399
49502,777479435,reefer-madness,Reefer Madness,Colorado,Denver,dispensary,1039
338916,596598505,jars-cannabis-5,JARS Cannabis - Longmont,Colorado,Longmont,dispensary,627
349397,998838960,social-dispensary-golden,Social Dispensary - Golden,Colorado,Golden,dispensary,938
30462,745739666,herbs4you-adult-use,Herbs 4 You,Colorado,Denver,dispensary,509
63898,238861445,cannabis-depot-2,The Cannabis Depot,Colorado,Pueblo,dispensary,241
381713,955753413,snaxland-yale,Snaxland - Yale,Colorado,Denver,dispensary,424
6024,726075546,best-budz,Best Budz Austin Bluffs,Colorado,Colorado Springs,dispensary,202
378367,146064297,kai-dispensary,KAI Dispensary,Colorado,Grand Junction,dispensary,471
304788,754165018,nature-s-herbs-wellness-milliken,Nature's Herbs & Wellness - Milliken,Colorado,Milliken,dispensary,474
377814,424702228,snaxland-s-federal,Snaxland S Federal,Colorado,Denver,dispensary,212
401785,401704781,the-chronic-boutique-trinidad,The Chronic Boutique - Trinidad,Colorado,Trinidad,dispensary,270
67240,530180935,the-dispo-1,The Dispo,Colorado,Pueblo West,dispensary,571
2982,300959395,the-healing-canna,The Healing Canna,Colorado,Colorado Springs,dispensary,784
322131,427838515,magnolia-road-cannabis-co-broomfield,Magnolia Road Cannabis Co. - Broomfield,Colorado,Broomfield,dispensary,1444
47548,516489104,main-street-cannabis,Main Street Cannabis,Colorado,Trinidad,dispensary,241
43546,161909074,little-brown-house,Reefer Madness Broadway,Colorado,Denver,dispensary,804
41783,608521568,callies-cannabis-shoppe-northglenn,Callie's Cannabis Shoppe - Northglenn,Colorado,Northglenn,dispensary,693
42755,544146008,boulder-built-recreational,Boulder Built,Colorado,Boulder,dispensary,393
26024,915170157,green-tree-berthoud,Green Tree Medicinals Berthoud,Colorado,Berthoud,dispensary,405
401507,847887679,sl-sheridan,Snaxland Sheridan,Colorado,Denver,dispensary,722
389169,232004516,sugarloaf-dispensary,Sugarloaf Dispensary - Sterling,Colorado,Sterling,dispensary,736
335367,190546929,wise-cannabis,Wise Cannabis,Colorado,Fairplay,dispensary,534
43383,474452918,the-herbal-cure-recreational,The Herbal Cure (Med and Rec),Colorado,Denver,dispensary,353
43908,301340123,magnolia-road-cannabis-co-recreational,Magnolia Road Cannabis Co. - Boulder,Colorado,Boulder,dispensary,936
342449,666468770,magnolia-road-cannabis-co-3,Magnolia Road Cannabis Co. - Colorado Springs,Colorado,Colorado Springs,dispensary,492
49947,283279777,house-of-dankness-3,House Of Dankness,Colorado,Denver,dispensary,527
62982,360490447,dabbington-dispensary,Magnolia Road Cannabis Co. - Log Lane Village,Colorado,Log Lane Village,dispensary,478
370765,305751687,harvest-dispensary-3,Harvest Dispensary,Colorado,Pueblo,dispensary,178
40276,917486457,physician-preferred-products-recreational,Docs Apothecary,Colorado,Northglenn,dispensary,657
49592,957221102,rocky-farms,Rocky Farms,Colorado,Rocky Ford,dispensary,1030
9861,449610070,cloud-nine-caregivers,High Plainz Strains - Garden City,Colorado,Garden City,dispensary,353
378603,754558427,roots-rx-cannabis-dispensary-leadville,Roots RX Cannabis Dispensary Leadville,Colorado,Leadville,dispensary,368
356433,307584908,maikoh-holistics-denver,Maikoh Holistics - Denver,Colorado,Denver,dispensary,396
48346,182627765,lightshade-iliff,Lightshade - Iliff,Colorado,Aurora,dispensary,591
49847,537813403,high-west-cannabis,High West Cannabis,Colorado,Denver,dispensary,267
13745,697205390,smoke-signals-pueblo,Smoke Signals,Colorado,Pueblo West,dispensary,334
360119,398198202,the-cannabis-depot-denver,The Cannabis Depot - Denver,Colorado,Denver,dispensary,434
350501,246958411,best-buds-514,Best Buds - Denver,Colorado,Denver,dispensary,443
38412,902777487,natures-herbs-and-wellness-ii,Nature's Herbs & Wellness - Log Lane Village,Colorado,Fort Morgan,dispensary,364
400577,889442504,the-cannabis-depot-s-tejon,The Cannabis Depot - S Tejon,Colorado,Colorado Springs,dispensary,785
46974,493456344,life-flower-dispensary-recreational,Life Flower Dispensary,Colorado,Denver,dispensary,1088
336101,619542750,snaxland-boulder,Snaxland - Boulder,Colorado,Boulder,dispensary,821
41151,584002019,faragosi-farms,Faragosi Farms,Colorado,Trinidad,dispensary,170
302817,285780864,high-plainz-strains-3,High Plainz Strains - Sedgwick,Colorado,Sedgwick,dispensary,334
334604,895354133,best-invest-llc-dba-best-high,Best High Dispensary,Colorado,Denver,dispensary,741
356428,674864836,best-buds-aurora-dia,Best Buds - Aurora DIA,Colorado,Aurora,dispensary,345
357110,986763951,best-invest-llc-dba-best-high-1,Best High Dispensary - Bryant St,Colorado,Denver,dispensary,744
377740,205387474,snaxland-berkeley,Snaxland - Berkeley,Colorado,Denver,dispensary,589
4673,140791369,a-cut-above-colorado-springs,A Cut Above,Colorado,Colorado Springs,dispensary,206
307890,500316892,strawberry-fields-denver,Strawberry Fields - DTC,Colorado,Denver,dispensary,585
58901,389022373,maggies-farm-pueblo-north,Maggies Farm Pueblo North - Piñon,Colorado,Pueblo,dispensary,412
16527,727944546,mecca-federal,Mecca - Federal,Colorado,Denver,dispensary,632
29074,360501922,denco-adult-use,DENCO - Park Ave.,Colorado,Denver,dispensary,32
366403,742765638,apothecary-farms-422,Apothecary Farms - Pueblo West,Colorado,Pueblo West,dispensary,350
348155,606403167,bleezies,Bleezies,Colorado,Colorado Springs,dispensary,511
59486,897627518,wicked-weed,Wild Wild Weed,Colorado,Ordway,dispensary,239
377739,350420202,snaxland-high,Snaxland High,Colorado,Denver,dispensary,305
44734,253138601,lova-aurora,LOVA - Aurora,Colorado,Aurora,dispensary,298
