         564678 function calls (551003 primitive calls) in 1.105 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      107    0.006    0.000    2.848    0.027 __init__.py:1(<module>)
    987/1    0.036    0.000    1.106    1.106 {built-in method builtins.exec}
        1    0.000    0.000    1.106    1.106 test_benchmarks.py:1(<module>)
    946/2    0.009    0.000    1.106    0.553 <frozen importlib._bootstrap>:1349(_find_and_load)
    945/2    0.006    0.000    1.106    0.553 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    908/2    0.005    0.000    1.105    0.553 <frozen importlib._bootstrap>:911(_load_unlocked)
    805/2    0.003    0.000    1.105    0.553 <frozen importlib._bootstrap_external>:993(exec_module)
   2097/4    0.005    0.000    1.105    0.276 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.852    0.852 CanaData.py:1(<module>)
   516/74    0.001    0.000    0.594    0.008 {built-in method builtins.__import__}
        1    0.000    0.000    0.541    0.541 optimized_data_processor.py:1(<module>)
 1013/602    0.002    0.000    0.454    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       10    0.001    0.000    0.332    0.033 api.py:1(<module>)
      805    0.010    0.000    0.257    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
2167/2144    0.056    0.000    0.172    0.000 {built-in method builtins.__build_class__}
        3    0.000    0.000    0.170    0.057 generic.py:1(<module>)
      805    0.022    0.000    0.170    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
      805    0.147    0.000    0.147    0.000 {built-in method marshal.loads}
      937    0.009    0.000    0.136    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.128    0.128 code.py:1(<module>)
        2    0.000    0.000    0.119    0.060 client.py:1(<module>)
      932    0.001    0.000    0.119    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
      932    0.004    0.000    0.118    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
        1    0.000    0.000    0.107    0.107 LeaflyScraper.py:1(<module>)
        6    0.000    0.000    0.104    0.017 exceptions.py:1(<module>)
