         1082225 function calls (1054557 primitive calls) in 1.667 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      684    0.122    0.000    0.122    0.000 {built-in method marshal.loads}
     1749    0.063    0.000    0.063    0.000 {built-in method builtins.compile}
    970/1    0.047    0.000    1.675    1.675 {built-in method builtins.exec}
      589    0.044    0.000    0.049    0.000 _compiler.py:243(_optimize_charset)
1869/1844    0.043    0.000    0.801    0.000 {built-in method builtins.__build_class__}
154222/154198    0.042    0.000    0.046    0.000 {built-in method builtins.isinstance}
      684    0.038    0.000    0.163    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
    98/72    0.036    0.000    0.087    0.001 {built-in method _imp.exec_dynamic}
     1584    0.030    0.000    0.061    0.000 fields.py:228(__init__)
     3221    0.028    0.000    0.028    0.000 {built-in method posix.stat}
    98/96    0.028    0.000    0.037    0.000 {built-in method _imp.create_dynamic}
    48861    0.027    0.000    0.030    0.000 {built-in method builtins.getattr}
5308/5171    0.020    0.000    0.028    0.000 {built-in method __new__ of type object at 0x7feb88a56600}
  695/148    0.020    0.000    0.051    0.000 _parser.py:512(_parse)
      684    0.020    0.000    0.020    0.000 {built-in method _io.open_code}
      689    0.015    0.000    0.015    0.000 {method 'read' of '_io.BufferedReader' objects}
    53038    0.015    0.000    0.015    0.000 {method 'get' of 'dict' objects}
     1239    0.015    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
    30601    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
     2882    0.013    0.000    0.048    0.000 typing.py:175(_type_check)
     6585    0.012    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      210    0.012    0.000    0.315    0.001 _fields.py:224(collect_model_fields)
     1723    0.012    0.000    0.037    0.000 <frozen importlib._bootstrap>:304(acquire)
    39448    0.012    0.000    0.012    0.000 {method 'pop' of 'dict' objects}
      413    0.011    0.000    0.023    0.000 inspect.py:882(cleandoc)
    12761    0.010    0.000    0.020    0.000 typing.py:2344(get_origin)
 1242/142    0.010    0.000    0.053    0.000 _compiler.py:37(_compile)
    30367    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
  742/620    0.010    0.000    0.178    0.000 _generate_schema.py:1278(_common_field_schema)
     7073    0.010    0.000    0.021    0.000 typing.py:1215(__setattr__)
4417/1063    0.010    0.000    0.131    0.000 typing.py:407(_eval_type)
     1642    0.010    0.000    0.012    0.000 {method 'sub' of 're.Pattern' objects}
46981/45503    0.010    0.000    0.010    0.000 {built-in method builtins.len}
12750/12029    0.009    0.000    0.164    0.000 {built-in method builtins.hasattr}
       99    0.009    0.000    0.009    0.000 {built-in method posix.listdir}
      684    0.008    0.000    0.240    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
   1304/9    0.008    0.000    1.674    0.186 <frozen importlib._bootstrap>:1349(_find_and_load)
      817    0.008    0.000    0.099    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
 1105/566    0.008    0.000    0.123    0.000 _generate_schema.py:1045(match_type)
     1076    0.008    0.000    0.107    0.000 {built-in method builtins.eval}
      211    0.008    0.000    0.614    0.003 _model_construction.py:84(__new__)
      634    0.008    0.000    0.050    0.000 fields.py:1169(Field)
     1368    0.007    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
     1584    0.007    0.000    0.008    0.000 fields.py:670(_collect_metadata)
  253/151    0.007    0.000    0.204    0.001 _generate_schema.py:756(_model_schema)
9859/9791    0.007    0.000    0.008    0.000 {method 'join' of 'str' objects}
     1022    0.007    0.000    0.044    0.000 typing.py:1269(__init__)
      210    0.007    0.000    0.254    0.001 _model_construction.py:600(complete_model_class)
     1723    0.006    0.000    0.014    0.000 <frozen importlib._bootstrap>:124(setdefault)
      950    0.006    0.000    0.015    0.000 introspection.py:387(inspect_annotation)
     1723    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1723    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:372(release)
 1362/146    0.006    0.000    0.209    0.001 _generate_schema.py:1017(_generate_schema_inner)
     7494    0.006    0.000    0.012    0.000 typing.py:1161(_is_dunder)
 3874/126    0.006    0.000    0.008    0.000 _schema_gather.py:96(traverse_schema)
     6644    0.005    0.000    0.005    0.000 _config.py:154(__getattr__)
    826/9    0.005    0.000    1.673    0.186 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      634    0.005    0.000    0.040    0.000 fields.py:290(from_field)
      187    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
     1012    0.005    0.000    0.010    0.000 functools.py:35(update_wrapper)
      704    0.005    0.000    0.005    0.000 {method '__exit__' of '_io._IOBase' objects}
    12720    0.005    0.000    0.006    0.000 {built-in method builtins.setattr}
     8501    0.005    0.000    0.008    0.000 _parser.py:168(__getitem__)
     3231    0.005    0.000    0.140    0.000 __init__.py:280(_compile)
      126    0.005    0.000    0.019    0.000 _schema_validator.py:22(create_schema_validator)
     7540    0.005    0.000    0.005    0.000 {method 'rpartition' of 'str' objects}
    10905    0.005    0.000    0.005    0.000 {built-in method builtins.min}
      305    0.005    0.000    0.007    0.000 _config.py:163(core_config)
    14632    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
  746/620    0.005    0.000    0.154    0.000 _generate_schema.py:2210(_apply_annotations)
      210    0.005    0.000    0.008    0.000 _model_construction.py:400(inspect_namespace)
     9558    0.005    0.000    0.008    0.000 _parser.py:261(get)
      210    0.004    0.000    0.193    0.001 _typing_extra.py:314(get_model_type_hints)
      787    0.004    0.000    0.025    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1744    0.004    0.000    0.068    0.000 typing.py:892(__init__)
     2870    0.004    0.000    0.005    0.000 core_schema.py:4349(_dict_not_none)
    12241    0.004    0.000    0.004    0.000 _parser.py:240(__next)
      950    0.004    0.000    0.031    0.000 fields.py:479(_construct)
    13300    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
     1952    0.004    0.000    0.059    0.000 _generate_schema.py:901(_generate_schema_from_get_schema_method)
       40    0.004    0.000    0.011    0.000 __init__.py:355(namedtuple)
3804/1838    0.004    0.000    0.011    0.000 typing.py:430(<genexpr>)
     2375    0.004    0.000    0.005    0.000 _model_construction.py:285(__getattr__)
     2656    0.004    0.000    0.009    0.000 {built-in method builtins.any}
      995    0.004    0.000    0.015    0.000 typing_extensions.py:3228(_collect_parameters)
       98    0.004    0.000    4.014    0.041 __init__.py:1(<module>)
    787/9    0.004    0.000    1.672    0.186 <frozen importlib._bootstrap>:911(_load_unlocked)
     6605    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
1208/1190    0.004    0.000    0.076    0.000 typing.py:392(inner)
     7075    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1368    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       61    0.004    0.000    0.069    0.001 dataclasses.py:921(_process_class)
     2276    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
     1061    0.004    0.000    0.008    0.000 _typing_extra.py:102(is_classvar_annotation)
     1723    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:79(__init__)
      210    0.004    0.000    0.009    0.000 _decorators.py:431(build)
     1036    0.004    0.000    0.129    0.000 typing.py:916(_evaluate)
     2050    0.004    0.000    0.004    0.000 contextlib.py:104(__init__)
     1723    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap>:162(__enter__)
      782    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
     7311    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
      813    0.003    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
      978    0.003    0.000    0.022    0.000 _fields.py:141(_apply_alias_generator_to_field_info)
       20    0.003    0.000    0.007    0.000 enum.py:1707(convert_class)
       89    0.003    0.000    0.029    0.000 typing.py:2888(__new__)
      995    0.003    0.000    0.004    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      392    0.003    0.000    0.003    0.000 {built-in method _abc._abc_init}
      552    0.003    0.000    0.031    0.000 fields.py:378(from_annotated_attribute)
  540/142    0.003    0.000    0.052    0.000 _parser.py:452(_parse_sub)
  705/146    0.003    0.000    0.212    0.001 _generate_schema.py:717(generate_schema)
     2975    0.003    0.000    0.026    0.000 typing.py:166(_type_convert)
    10982    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
     2148    0.003    0.000    0.004    0.000 _model_construction.py:57(__setitem__)
     3840    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:645(parent)
      722    0.003    0.000    0.004    0.000 _core_metadata.py:47(update_core_metadata)
     3831    0.003    0.000    0.016    0.000 {built-in method builtins.next}
      684    0.003    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
      136    0.003    0.000    0.008    0.000 inspect.py:2397(_signature_from_function)
     1061    0.003    0.000    0.005    0.000 _fields.py:78(_check_protected_namespaces)
 1409/318    0.003    0.000    0.005    0.000 _parser.py:178(getwidth)
     5271    0.003    0.000    0.003    0.000 {method 'get' of 'mappingproxy' objects}
     2736    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
1971/1444    0.003    0.000    0.010    0.000 _generate_schema.py:2684(_extract_get_pydantic_json_schema)
      682    0.003    0.000    0.035    0.000 typing.py:2125(_class_getitem_inner)
      392    0.003    0.000    0.019    0.000 <frozen abc>:105(__new__)
     1723    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:74(__new__)
     1615    0.003    0.000    0.006    0.000 {built-in method builtins.max}
    684/9    0.003    0.000    1.671    0.186 <frozen importlib._bootstrap_external>:993(exec_module)
      897    0.003    0.000    0.025    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     2050    0.003    0.000    0.007    0.000 contextlib.py:299(helper)
  1863/18    0.003    0.000    1.669    0.093 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     2466    0.002    0.000    0.005    0.000 _namespace_utils.py:96(__getitem__)
     1059    0.002    0.000    0.049    0.000 _typing_extra.py:279(_type_convert)
      343    0.002    0.000    0.005    0.000 _core_utils.py:65(get_type_ref)
