         513935 function calls (501521 primitive calls) in 1.434 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      611    0.261    0.000    0.261    0.000 {built-in method marshal.loads}
      242    0.127    0.001    0.127    0.001 {built-in method builtins.compile}
    76/49    0.074    0.001    0.155    0.003 {built-in method _imp.exec_dynamic}
      705    0.063    0.000    0.063    0.000 {method 'read' of '_io.BufferedReader' objects}
1791/1775    0.045    0.000    0.173    0.000 {built-in method builtins.__build_class__}
    76/74    0.043    0.001    0.054    0.001 {built-in method _imp.create_dynamic}
      789    0.041    0.000    0.041    0.000 {built-in method _io.open_code}
     3545    0.040    0.000    0.040    0.000 {built-in method posix.stat}
      611    0.040    0.000    0.302    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       89    0.032    0.000    0.032    0.000 {built-in method posix.open}
      321    0.020    0.000    0.020    0.000 {method 'sub' of 're.Pattern' objects}
  613/126    0.016    0.000    0.040    0.000 _parser.py:512(_parse)
     1408    0.015    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      414    0.014    0.000    0.029    0.000 inspect.py:875(cleandoc)
       92    0.013    0.000    0.013    0.000 {built-in method posix.listdir}
    731/1    0.013    0.000    1.435    1.435 {built-in method builtins.exec}
     1705    0.012    0.000    0.035    0.000 <frozen importlib._bootstrap>:304(acquire)
     7527    0.010    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
3246/3027    0.010    0.000    0.018    0.000 {built-in method __new__ of type object at 0xa43b40}
    839/9    0.010    0.000    1.434    0.159 <frozen importlib._bootstrap>:1349(_find_and_load)
    40637    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
      700    0.009    0.000    0.607    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
    19621    0.008    0.000    0.009    0.000 {built-in method builtins.getattr}
44042/42731    0.008    0.000    0.009    0.000 {built-in method builtins.len}
9899/9831    0.008    0.000    0.008    0.000 {method 'join' of 'str' objects}
      831    0.008    0.000    0.116    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      513    0.007    0.000    0.011    0.000 _compiler.py:243(_optimize_charset)
     1705    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
 1094/120    0.007    0.000    0.023    0.000 _compiler.py:37(_compile)
     1705    0.007    0.000    0.013    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1400    0.007    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       37    0.006    0.000    0.007    0.000 {built-in method builtins.eval}
    24494    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      158    0.006    0.000    0.006    0.000 {method 'findall' of 're.Pattern' objects}
     1705    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:372(release)
    16867    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
    838/9    0.006    0.000    1.434    0.159 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      913    0.006    0.000    0.011    0.000 functools.py:35(update_wrapper)
       91    0.005    0.000    3.613    0.040 __init__.py:1(<module>)
  1938/18    0.005    0.000    1.426    0.079 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      704    0.005    0.000    0.005    0.000 {method '__exit__' of '_io._IOBase' objects}
    10626    0.005    0.000    0.005    0.000 {built-in method builtins.min}
    801/9    0.004    0.000    1.432    0.159 <frozen importlib._bootstrap>:911(_load_unlocked)
     8082    0.004    0.000    0.007    0.000 _parser.py:261(get)
      217    0.004    0.000    0.008    0.000 enum.py:254(__set_name__)
     7679    0.004    0.000    0.006    0.000 {built-in method builtins.setattr}
    16547    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
       20    0.004    0.000    0.009    0.000 enum.py:1708(convert_class)
     1705    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap>:162(__enter__)
      801    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      436    0.004    0.000    0.007    0.000 typing.py:262(_collect_parameters)
     7599    0.004    0.000    0.006    0.000 _parser.py:168(__getitem__)
       37    0.004    0.000    0.011    0.000 __init__.py:355(namedtuple)
      789    0.004    0.000    0.112    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
8309/8226    0.004    0.000    0.032    0.000 {built-in method builtins.hasattr}
    11005    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
      807    0.003    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     1489    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      776    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     2752    0.003    0.000    0.006    0.000 typing.py:1188(__setattr__)
     8023    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      402    0.003    0.000    0.018    0.000 typing.py:1242(__init__)
      748    0.003    0.000    0.010    0.000 typing.py:175(_type_check)
    10399    0.003    0.000    0.003    0.000 _parser.py:240(__next)
      129    0.003    0.000    0.008    0.000 inspect.py:2366(_signature_from_function)
     5401    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
    700/9    0.003    0.000    1.432    0.159 <frozen importlib._bootstrap_external>:989(exec_module)
     1705    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:74(__new__)
  467/120    0.003    0.000    0.041    0.000 _parser.py:452(_parse_sub)
      675    0.002    0.000    0.077    0.000 __init__.py:280(_compile)
     1705    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:79(__init__)
      158    0.002    0.000    0.031    0.000 textwrap.py:419(dedent)
       89    0.002    0.000    0.002    0.000 {built-in method marshal.dumps}
      739    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
     3214    0.002    0.000    0.004    0.000 typing.py:1134(_is_dunder)
     1720    0.002    0.000    0.004    0.000 {built-in method builtins.max}
  855/498    0.002    0.000    0.548    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
 1235/264    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
  801/795    0.002    0.000    0.082    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      867    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      132    0.002    0.000    0.008    0.000 <frozen abc>:105(__new__)
      776    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
     1833    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       54    0.002    0.000    0.013    0.000 enum.py:528(__new__)
      346    0.002    0.000    0.004    0.000 enum.py:390(__setitem__)
      198    0.002    0.000    0.002    0.000 inspect.py:2998(__init__)
      458    0.002    0.000    0.002    0.000 _inspect.py:66(getargs)
     4287    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     3497    0.002    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      264    0.002    0.000    0.019    0.000 overrides.py:145(decorator)
      663    0.002    0.000    0.003    0.000 inspect.py:2712(__init__)
     4989    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
      776    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     1705    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.002    0.002    0.002    0.002 parquet.py:1(<module>)
