         134504 function calls (120105 primitive calls) in 0.144 seconds

   Ordered by: cumulative time
   List reduced from 497 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.144    0.144 /app/benchmark_temp_audit.py:8(benchmark_processor)
        1    0.000    0.000    0.144    0.144 /app/optimized_data_processor.py:18(process_menu_data)
        1    0.000    0.000    0.068    0.068 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/core/frame.py:2125(to_dict)
        1    0.036    0.036    0.068    0.068 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/core/methods/to_dict.py:97(to_dict)
        1    0.001    0.001    0.062    0.062 /app/optimized_data_processor.py:42(_flatten_all_items)
        1    0.001    0.001    0.042    0.042 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/io/json/_normalize.py:303(json_normalize)
   1001/1    0.001    0.000    0.035    0.035 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/io/json/_normalize.py:219(_simple_json_normalize)
     1000    0.006    0.000    0.034    0.000 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/io/json/_normalize.py:194(_normalize_json_ordered)
14000/1000    0.018    0.000    0.024    0.000 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/io/json/_normalize.py:153(_normalize_json)
        1    0.000    0.000    0.019    0.019 /app/optimized_data_processor.py:69(_handle_remaining_nesting)
    10000    0.014    0.000    0.018    0.000 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:186(maybe_box_native)
        1    0.000    0.000    0.013    0.013 /app/optimized_data_processor.py:174(_normalize_data)
49109/49023    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
     8078    0.003    0.000    0.012    0.000 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/core/arrays/base.py:559(__iter__)
        1    0.000    0.000    0.009    0.009 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/core/series.py:4960(apply)
        1    0.000    0.000    0.009    0.009 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/core/apply.py:1502(apply)
     8117    0.008    0.000    0.009    0.000 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/core/arrays/_mixins.py:287(__getitem__)
        1    0.000    0.000    0.009    0.009 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/core/apply.py:1560(apply_standard)
        1    0.000    0.000    0.009    0.009 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/core/base.py:996(_map_values)
        1    0.000    0.000    0.009    0.009 /home/jules/.pyenv/versions/3.12.13/lib/python3.12/site-packages/pandas/core/algorithms.py:1632(map_array)
